RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED, BW, WW, YW, ADG, DMI, Milk, ME, HPG, CEM, STAY, Marb, YG, CW, REA, FAT, HB, GM
PM32,,N70 - N17,HHOLL N70 - HHOLL N17,,,147,15,-3.8,63,94,0.2,0.61,29,-5,11,8,18,0.66,-0.11,19,0.37,-0.01,82,65
PM33,,N73 - N17,HHOLL N73 - HHOLL N17,,,146,13,-2.8,66,98,0.2,0.72,30,-5,11,8,18,0.64,-0.09,17,0.3,-0.01,88,58
PM34,,N77 - N17,HHOLL N77 - HHOLL N17,,,141,17,-4.1,64,95,0.2,0.78,28,-4,12,9,19,0.61,-0.06,14,0.22,0,90,51
PM35,,N80 - N17,HHOLL N80 - HHOLL N17,,,133,15,-3,63,97,0.21,0.66,28,-3,11,7,17,0.65,-0.02,18,0.16,0,72,61
PM36,,N84 - N17,HHOLL N84 - HHOLL N17,,,139,16,-3.4,63,99,0.22,0.64,29,-2,11,8,17,0.63,-0.02,19,0.19,0,74,65
PM37,,N89 - N17,HHOLL N89 - HHOLL N17,,,152,13,-2.2,64,98,0.21,0.69,30,-2,11,7,20,0.59,-0.02,24,0.19,-0.01,89,63
PM38,,N90 - N17,HHOLL N90 - HHOLL N17,,,134,15,-3.4,63,93,0.19,0.59,30,-5,11,8,18,0.59,-0.06,14,0.23,0,82,52
PM39,,N91 - N17,HHOLL N91 - HHOLL N17,,,,15,-3.1,57,90,0.21,0.53,27,-4,11,7,17,,,,,,70,
PM40,,N92 - N17,HHOLL N92 - HHOLL N17,,,133,16,-3.8,58,86,0.18,0.59,29,-5,12,8,17,0.65,-0.04,14,0.17,0,77,56
PM41,,N93 - N17,HHOLL N93 - HHOLL N17,,,139,12,-2.2,59,90,0.19,0.62,27,-3,11,6,18,0.64,-0.09,16,0.36,0,77,62
PM42,,N94 - N17,HHOLL N94 - HHOLL N17,,,131,12,-2,62,96,0.21,0.6,28,-4,11,7,18,0.61,-0.03,13,0.16,0,76,55
PM43,,N96 - N17,HHOLL N96 - HHOLL N17,,,146,15,-3.5,64,99,0.22,0.78,28,-2,11,8,18,0.66,-0.02,23,0.19,-0.01,80,66
PM44,,N99 - N17,HHOLL N99 - HHOLL N17,,,132,15,-3.8,61,90,0.18,0.69,30,-5,12,8,18,0.63,-0.06,10,0.19,0,83,49
PM45,,N12 - N17,HHOLL N12 - HHOLL N17,,,139,12,-2.4,64,96,0.2,0.66,29,-5,11,7,17,0.67,-0.12,16,0.32,-0.02,77,62
PM46,,N41 - N17,HHOLL N41 - HHOLL N17,,,146,15,-3.7,61,91,0.19,0.62,30,-5,11,8,18,0.66,-0.08,18,0.25,-0.01,83,63
PM47,,N79 - N17,HHOLL N79 - HHOLL N17,,,140,13,-2.5,62,100,0.24,0.69,27,-2,12,7,17,0.64,-0.01,19,0.17,0,73,67
PM48,,N45 - N17,HHOLL N45 - HHOLL N17,,,129,18,-4.5,58,90,0.2,0.58,28,-4,11,9,17,0.62,-0.03,14,0.18,0,72,57
PM49,,N102 - N17,HHOLL N102 - HHOLL N17,,,142,15,-3.3,60,94,0.21,0.75,24,-3,13,8,18,0.63,-0.06,13,0.22,0,85,57
