RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM
PM82,,K69 - N54,HHOLL K69 - HHOLL N54,,,128,17,-4,64,96,0.2,0.67,32,-1,12,9,17,0.58,0.02,16,0.1,0.01,78,50
PM83,,K68 - N54,HHOLL K68 - HHOLL N54,,,146,18,-4.7,55,84,0.18,0.45,32,-4,12,9,20,0.61,0.02,10,0.05,0.01,94,52
PM84,,K52 - N54,HHOLL K52 - HHOLL N54,,,151,15,-4,50,82,0.2,0.44,26,-2,13,7,19,0.69,-0.01,13,0.17,0.01,81,69
PM85,,K11 - N54,HHOLL K11 - HHOLL N54,,,137,18,-4.8,53,83,0.19,0.44,23,-4,12,9,18,0.61,-0.01,9,0.05,0,82,55
PM86,,K65 - N54,HHOLL K65 - HHOLL N54,,,138,20,-5.2,53,80,0.17,0.44,28,-4,12,9,19,0.62,-0.01,8,0.04,0,86,51
PM87,,K14 - N54,HHOLL K14 - HHOLL N54,,,136,18,-4.7,51,78,0.17,0.34,26,-4,12,9,19,0.62,0,7,0.01,0,84,52
PM88,,K40 - N54,HHOLL K40 - HHOLL N54,,,130,19,-4.9,50,76,0.16,0.31,24,-6,12,9,18,0.62,-0.01,6,0.01,0,78,52
PM89,,L06 - N54,HHOLL L06 - HHOLL N54,,,133,18,-4.7,56,87,0.19,0.51,25,-5,12,9,17,0.71,-0.02,9,0.06,0,74,59
PM90,,L09 - N54,HHOLL L09 - HHOLL N54,,,135,19,-5.4,54,81,0.17,0.43,26,-5,12,9,18,0.67,-0.01,9,0.04,0,79,55
PM91,,L12 - N54,HHOLL L12 - HHOLL N54,,,151,17,-4.2,53,84,0.19,0.5,28,-2,13,8,19,0.66,-0.02,16,0.22,0.01,86,65
PM92,,L20 - N54,HHOLL L20 - HHOLL N54,,,138,15,-3.2,62,95,0.21,0.63,27,-4,13,7,18,0.69,-0.01,12,0.09,0,81,57
PM93,,L22 - N54,HHOLL L22 - HHOLL N54,,,126,16,-3.7,59,90,0.2,0.47,29,-4,12,8,17,0.63,0,11,0.05,0,71,55
PM94,,L28 - N54,HHOLL L28 - HHOLL N54,,,149,16,-3.9,52,82,0.19,0.43,23,-2,12,8,20,0.65,-0.02,13,0.18,0.01,86,63
PM95,,L29 - N54,HHOLL L29 - HHOLL N54,,,140,17,-4.1,52,81,0.18,0.39,27,-5,12,8,18,0.69,-0.02,9,0.09,0,79,61
PM96,,L31 - N54,HHOLL L31 - HHOLL N54,,,137,15,-3.2,57,88,0.19,0.5,27,-3,12,8,17,0.69,-0.03,12,0.13,0,76,62
PM97,,L32 - N54,HHOLL L32 - HHOLL N54,,,161,16,-4.2,59,96,0.23,0.56,26,-1,13,8,20,0.61,0.05,24,0.07,0,91,71
PM98,,L33 - N54,HHOLL L33 - HHOLL N54,,,158,15,-3.2,57,92,0.22,0.55,27,-2,13,8,22,0.56,0.02,16,0.09,0.01,101,57
PM99,,L44 - N54,HHOLL L44 - HHOLL N54,,,151,18,-4.6,53,85,0.2,0.43,30,-2,12,9,19,0.66,0.05,16,0.01,0.01,86,65
PM100,,L49 - N54,HHOLL L49 - HHOLL N54,,,158,13,-2.7,62,102,0.24,0.63,28,0,13,7,20,0.66,0.05,24,0.06,0,86,72
PM101,,L56 - N54,HHOLL L56 - HHOLL N54,,,136,16,-4.2,51,78,0.17,0.35,31,-5,12,8,20,0.57,0.02,6,-0.05,0.01,91,45
PM102,,L58 - N54,HHOLL L58 - HHOLL N54,,,148,18,-4.9,53,84,0.19,0.4,28,-2,12,9,18,0.67,-0.02,14,0.19,0.01,82,66
PM103,,L60 - N54,HHOLL L60 - HHOLL N54,,,140,16,-3.9,55,86,0.19,0.53,30,-2,12,8,18,0.63,-0.02,15,0.18,0.01,78,62
PM104,,L61 - N54,HHOLL L61 - HHOLL N54,,,135,18,-5,47,73,0.17,0.33,25,-5,12,9,19,0.61,0.02,6,-0.02,0.01,84,52
PM105,,L63 - N54,HHOLL L63 - HHOLL N54,,,140,12,-2.4,63,98,0.22,0.65,29,1,12,7,19,0.64,-0.02,20,0.25,0,76,64
PM106,,L64 - N54,HHOLL L64 - HHOLL N54,,,149,19,-5.4,48,79,0.19,0.52,24,-1,13,9,19,0.69,-0.02,13,0.18,0.01,82,67
PM107,,L66 - N54,HHOLL L66 - HHOLL N54,,,144,15,-3.2,57,87,0.19,0.46,30,-4,12,8,20,0.58,0.02,11,0.04,0.01,95,49
PM108,,L70 - N54,HHOLL L70 - HHOLL N54,,,139,14,-3.2,55,86,0.19,0.56,28,0,12,7,19,0.63,-0.02,14,0.16,0,80,59
PM109,,L73 - N54,HHOLL L73 - HHOLL N54,,,136,16,-3.9,53,82,0.18,0.47,27,-3,12,8,18,0.69,-0.03,9,0.09,0,75,60
PM110,,L78 - N54,HHOLL L78 - HHOLL N54,,,135,20,-5.4,54,81,0.17,0.41,30,-4,12,9,18,0.6,0.02,11,0.06,0.01,83,52
PM111,,L88 - N54,HHOLL L88 - HHOLL N54,,,133,17,-4.1,56,85,0.18,0.44,26,-5,12,8,17,0.69,-0.02,7,0.04,0,77,55
PM112,,L94 - N54,HHOLL L94 - HHOLL N54,,,161,16,-4,60,94,0.21,0.58,30,-1,12,8,21,0.61,0.06,23,0.03,0,96,64
PM113,,M86 - N54,HHOLL M86 - HHOLL N54,,,152,13,-2.5,58,90,0.2,0.44,30,-3,12,7,21,0.63,0.05,16,0,0.01,91,61
PM114,,M62 - N54,HHOLL M62 - HHOLL N54,,,140,14,-3,59,91,0.2,0.61,30,0,12,7,19,0.63,-0.02,16,0.19,0,80,60
PM115,,M13 - N54,HHOLL M13 - HHOLL N54,,,145,13,-2.9,54,85,0.19,0.35,26,-2,12,7,19,0.63,-0.02,14,0.17,0,81,65
PM116,,M56 - N54,HHOLL M56 - HHOLL N54,,,162,15,-3.4,61,96,0.22,0.49,27,-2,12,8,20,0.62,0.06,23,0.05,0,95,67
PM117,,M65 - N54,HHOLL M65 - HHOLL N54,,,165,18,-4.9,56,89,0.2,0.45,30,-3,13,9,20,0.73,0.06,16,0.05,0.02,98,67
PM118,,M59 - N54,HHOLL M59 - HHOLL N54,,,149,14,-3.2,57,90,0.2,0.55,29,-1,13,7,19,0.66,-0.02,17,0.24,0.01,84,65
PM119,,M60 - N54,HHOLL M60 - HHOLL N54,,,176,16,-4.2,61,98,0.23,0.59,29,-2,14,8,21,0.75,0.06,19,0.09,0.02,104,72
PM120,,M57 - N54,HHOLL M57 - HHOLL N54,,,161,14,-3.2,64,103,0.25,0.68,28,0,13,7,20,0.66,0.06,27,0.09,0,88,74
PM121,,M37 - N54,HHOLL M37 - HHOLL N54,,,162,18,-4.7,59,96,0.23,0.62,28,0,13,9,20,0.66,0.05,24,0.06,0,89,72
PM122,,M38 - N54,HHOLL M38 - HHOLL N54,,,171,18,-5.3,55,88,0.2,0.45,31,-3,13,9,21,0.74,0.06,17,0.05,0.02,101,69
PM123,,M17 - N54,HHOLL M17 - HHOLL N54,,,152,16,-3.5,63,97,0.22,0.59,31,-2,12,7,20,0.65,0.05,19,0.05,0.01,89,62
PM124,,M42 - N54,HHOLL M42 - HHOLL N54,,,161,17,-4,63,99,0.22,0.66,30,0,12,8,21,0.61,0.05,25,0.06,0,97,64
PM125,,M50 - N54,HHOLL M50 - HHOLL N54,,,161,20,-5.5,55,88,0.21,0.58,27,-1,13,10,20,0.69,-0.02,17,0.24,0.01,91,70
PM126,,M35 - N54,HHOLL M35 - HHOLL N54,,,170,21,-6.2,50,80,0.18,0.33,28,-4,13,10,21,0.73,0.07,13,0.01,0.02,102,67
PM127,,M64 - N54,HHOLL M64 - HHOLL N54,,,147,18,-5.1,52,82,0.19,0.44,25,-3,13,9,18,0.72,-0.03,13,0.2,0.01,78,68
PM128,,M45 - N54,HHOLL M45 - HHOLL N54,,,144,16,-3.8,55,90,0.22,0.49,29,-2,13,8,18,0.65,0.03,15,0.1,0.01,78,66
PM129,,M78 - N54,HHOLL M78 - HHOLL N54,,,165,19,-5.6,59,94,0.22,0.58,28,-2,14,9,19,0.81,0.05,17,0.07,0.01,92,73
PM130,,M83 - N54,HHOLL M83 - HHOLL N54,,,144,16,-3.8,55,90,0.22,0.5,29,-1,13,8,18,0.65,0.02,15,0.1,0.01,78,66
PM131,,M12 - N54,HHOLL M12 - HHOLL N54,,,147,18,-4.9,55,83,0.18,0.37,28,-5,12,9,18,0.65,-0.03,13,0.11,-0.01,86,61
PM132,,M02 - N54,HHOLL M02 - HHOLL N54,,,160,15,-3.6,61,95,0.21,0.56,30,-3,13,8,20,0.62,-0.02,19,0.17,0,97,63
PM133,,M01 - N54,HHOLL M01 - HHOLL N54,,,152,17,-4.6,58,89,0.19,0.45,30,-4,12,9,20,0.6,-0.01,17,0.14,0,93,60
