cow,bull,pair_score,score
N70 ,8177F,21.7289,472.1469
M50 ,8177F,21.0601,443.526
N64 ,8177F,19.5279,381.3402
N01 ,8177F,19.2656,371.1644
N65 ,8177F,18.9883,360.5541
N18 ,8177F,18.5758,345.0601
N10 ,8177F,18.3722,337.5389
N55 ,8177F,18.0706,326.5466
M35 ,8177F,18.0176,324.6345
N41 ,8177F,17.552,308.0731
