cow,bull,pair_score,score,RAAA#,Name,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM,higher_count,lower_count,Weight,combined_count
G10,4454M,15.8733,251.9605,PM167,HHOLL G10 - LSF CJR PRESIDENT 4454M,157,18,-5.4,48,73,0.16,0.15,28,-4,10,9,22,0.68,-0.01,8,0.06,0.0,99,58,6,5,1115.0,11
L64,1278J,15.8503,251.2321,PM740,HHOLL L64 - SLB AUTHORITY 1278J,141,17,-4.8,54,83,0.18,0.51,24,-4,11,9,17,0.63,-0.13,15,0.32,-0.02,75,66,8,4,1280.0,12
J45,4454M,15.8396,250.8916,PM349,HHOLL J45 - LSF CJR PRESIDENT 4454M,162,15,-4.2,59,90,0.19,0.53,30,-2,11,7,21,0.81,-0.05,16,0.26,0.0,93,69,8,4,1250.0,12
K59,4454M,15.8269,250.4922,PM468,HHOLL K59 - LSF CJR PRESIDENT 4454M,149,17,-5.3,55,82,0.16,0.38,32,-2,11,9,21,0.75,-0.01,8,0.07,0.0,93,56,7,5,1160.0,12
J04,4454M,15.7546,248.2068,PM412,HHOLL J04 - LSF CJR PRESIDENT 4454M,150,19,-6.1,48,71,0.15,0.19,22,-5,11,9,21,0.8,-0.03,2,0.02,0.0,91,59,6,5,,11
J33,4454M,15.6742,245.6792,PM335,HHOLL J33 - LSF CJR PRESIDENT 4454M,154,17,-5.0,57,84,0.17,0.38,32,-4,11,8,22,0.75,-0.01,8,0.07,0.0,98,56,6,5,1395.0,11
L12,1278J,15.5904,243.0609,PM635,HHOLL L12 - SLB AUTHORITY 1278J,142,15,-3.6,59,88,0.18,0.49,29,-5,11,8,18,0.6,-0.13,18,0.37,-0.02,79,63,8,4,1040.0,12
K82,4454M,15.5819,242.7958,PM510,HHOLL K82 - LSF CJR PRESIDENT 4454M,157,18,-5.2,59,88,0.18,0.41,29,-3,10,8,23,0.69,-0.01,12,0.12,0.0,102,55,6,5,1070.0,11
G22,4454M,15.5343,241.3132,PM181,HHOLL G22 - LSF CJR PRESIDENT 4454M,167,16,-4.8,57,86,0.18,0.37,31,-2,10,8,24,0.69,-0.01,11,0.12,0.0,110,57,6,5,1375.0,11
J41,4454M,15.5287,241.1399,PM433,HHOLL J41 - LSF CJR PRESIDENT 4454M,151,19,-5.8,53,81,0.17,0.44,24,-4,11,9,20,0.83,-0.03,6,0.06,-0.0,89,62,7,4,1268.0,11
K67,4454M,15.3803,236.5539,PM482,HHOLL K67 - LSF CJR PRESIDENT 4454M,175,15,-3.8,59,92,0.2,0.53,29,-2,12,8,24,0.74,-0.0,13,0.11,0.0,113,62,7,4,1130.0,11
H11,1278J,15.3653,236.0921,PM243,HHOLL H11 - SLB AUTHORITY 1278J,138,19,-4.8,48,69,0.13,0.12,26,-9,11,10,20,0.45,-0.08,8,0.1,-0.02,95,43,5,5,1050.0,10
K32,1278J,15.1517,229.5735,PM439,HHOLL K32 - SLB AUTHORITY 1278J,137,16,-3.3,55,81,0.17,0.25,31,-7,11,8,17,0.59,-0.07,19,0.16,-0.02,73,65,7,5,1070.0,12
K68,1278J,15.0319,225.9583,PM579,HHOLL K68 - SLB AUTHORITY 1278J,137,16,-4.0,61,89,0.18,0.44,33,-6,11,9,18,0.55,-0.1,13,0.19,-0.02,87,50,7,4,1055.0,11
E30,4454M,15.023,225.6893,PM97,E30 - LSF CJR PRESIDENT 4454M,166,16,-4.0,54,79,0.15,0.21,30,-5,10,8,25,0.62,-0.01,11,0.05,-0.0,116,50,6,5,1230.0,11
H26,1278J,14.8481,220.4659,PM271,HHOLL H26 - SLB AUTHORITY 1278J,142,17,-3.8,58,84,0.16,0.37,30,-6,11,9,21,0.44,-0.09,13,0.17,-0.02,99,42,6,5,1150.0,11
J76,1278J,14.6242,213.8669,PM327,HHOLL J76 - SLB AUTHORITY 1278J,140,15,-3.0,56,83,0.17,0.28,32,-7,11,8,17,0.59,-0.07,19,0.16,-0.02,75,64,7,5,1440.0,12
M42,1278J,14.5649,212.1363,PM866,HHOLL M42 - SLB AUTHORITY 1278J,152,15,-3.3,69,103,0.22,0.65,31,-2,11,8,19,0.56,-0.06,27,0.2,-0.03,90,63,7,4,1075.0,11
J10,1278J,14.4467,208.7078,PM362,HHOLL J10 - SLB AUTHORITY 1278J,129,18,-4.8,55,81,0.16,0.28,30,-6,10,9,19,0.46,-0.09,13,0.17,-0.02,81,48,6,5,1065.0,11
J11,1278J,14.2115,201.9661,PM390,HHOLL J11 - SLB AUTHORITY 1278J,144,14,-3.0,60,90,0.19,0.47,30,-5,11,8,18,0.6,-0.13,18,0.37,-0.02,80,64,7,4,1260.0,11
H42,1278J,13.8353,191.4149,PM320,HHOLL H42 - SLB AUTHORITY 1278J,134,16,-4.2,62,91,0.18,0.49,30,-6,11,9,18,0.55,-0.09,13,0.18,-0.02,85,50,7,4,1130.0,11
F19,1278J,13.6207,185.5243,PM124,F19 - SLB AUTHORITY 1278J,129,18,-4.2,50,72,0.13,0.1,28,-9,11,9,18,0.45,-0.09,12,0.17,-0.02,81,47,5,5,1105.0,10
