RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED, BW, WW, YW, ADG, DMI, Milk, ME, HPG, CEM, STAY, Marb, YG, CW, REA, FAT, HB, GM
PM54,,J65 - N17,HHOLL J65 - HHOLL N17,,,143,14,-2.9,62,93,0.2,0.74,30,-2,11,7,19,0.62,-0.1,20,0.39,-0.01,81,61
PM55,,J27 - N17,HHOLL J27 - HHOLL N17,,,140,13,-2.4,55,84,0.18,0.56,30,-1,11,7,19,0.62,-0.1,13,0.29,-0.01,81,59
PM56,,J11 - N17,HHOLL J11 - HHOLL N17,,,143,13,-2.7,58,89,0.19,0.63,28,-3,11,7,19,0.64,-0.09,16,0.36,0,81,62
PM57,,J61 - N17,HHOLL J61 - HHOLL N17,,,144,14,-2.9,54,82,0.17,0.51,27,-5,11,8,19,0.62,-0.09,14,0.3,-0.01,84,60
PM58,,J05 - N17,HHOLL J05 - HHOLL N17,,,142,13,-2.5,66,99,0.21,0.79,28,-5,11,7,19,0.62,-0.06,14,0.23,0,90,52
PM59,,J04 - N17,HHOLL J04 - HHOLL N17,,,125,17,-4.2,49,73,0.15,0.35,20,-7,11,8,18,0.62,-0.08,4,0.11,-0.01,76,49
PM60,,J80 - N17,HHOLL J80 - HHOLL N17,,,130,15,-3.3,58,86,0.17,0.52,26,-7,11,8,18,0.61,-0.08,9,0.18,-0.01,81,49
PM61,,J46 - N17,HHOLL J46 - HHOLL N17,,,132,15,-3.5,59,90,0.19,0.66,24,-5,11,8,18,0.64,-0.08,11,0.2,-0.01,77,55
PM62,,J41 - N17,HHOLL J41 - HHOLL N17,,,126,16,-4,54,82,0.18,0.6,23,-6,11,8,17,0.64,-0.08,8,0.16,-0.01,73,53
PM63,,K32 - N17,HHOLL K32 - HHOLL N17,,,136,15,-2.9,53,81,0.17,0.4,29,-6,11,7,17,0.63,-0.03,17,0.14,-0.01,73,63
PM64,,K75 - N17,HHOLL K75 - HHOLL N17,,,122,13,-2.5,56,85,0.18,0.46,28,-5,11,7,18,0.5,-0.05,13,0.17,0,75,47
PM65,,K60 - N17,HHOLL K60 - HHOLL N17,,,135,15,-3.1,54,83,0.18,0.48,29,-4,10,7,18,0.63,-0.03,13,0.09,-0.01,77,58
PM66,,K51 - N17,HHOLL K51 - HHOLL N17,,,138,15,-3,53,83,0.19,0.55,22,-4,11,8,19,0.54,-0.05,12,0.17,0,84,54
PM67,,K59 - N17,HHOLL K59 - HHOLL N17,,,124,15,-3.5,57,83,0.17,0.55,30,-4,11,8,18,0.56,-0.06,11,0.17,-0.01,77,47
PM68,,K21 - N17,HHOLL K21 - HHOLL N17,,,131,14,-3,54,81,0.17,0.38,31,-5,10,7,19,0.5,-0.05,13,0.19,0,82,49
PM69,,K67 - N17,HHOLL K67 - HHOLL N17,,,150,12,-1.9,61,94,0.21,0.69,28,-4,12,7,21,0.55,-0.05,15,0.22,0,98,52
PM70,,K25 - N17,HHOLL K25 - HHOLL N17,,,125,15,-3.2,60,87,0.17,0.55,27,-5,11,7,18,0.56,-0.06,10,0.16,-0.01,80,45
PM71,,K04B - N17,HHOLL K04B - HHOLL N17,,,138,13,-2.3,57,88,0.2,0.65,21,-4,12,6,20,0.55,-0.05,13,0.18,0,87,52
PM72,,K72 - N17,HHOLL K72 - HHOLL N17,,,151,15,-3.1,60,92,0.2,0.67,24,-5,12,8,21,0.54,-0.06,16,0.23,-0.01,98,53
PM73,,K82 - N17,HHOLL K82 - HHOLL N17,,,132,16,-3.4,60,89,0.18,0.58,27,-5,10,8,19,0.5,-0.05,15,0.21,0,86,46
