cow,bull,pair_score,score
N70 ,8177F,1005.2941,1010616.2521
M12 ,8177F,934.4292,873157.9634
N202 ,8177F,919.9807,846364.464
N12 ,8177F,912.7581,833127.3183
N01 ,8177F,908.6603,825663.6239
N02 ,8177F,896.8142,804275.7347
M01 ,8177F,884.4912,782324.7429
M50 ,8177F,881.7176,777425.9006
N55 ,8177F,875.1202,765835.292
N73 ,8177F,866.4529,750740.5471
